N°,Compound,Reaction,Introduced Group
1,H.H.H.H.H.H,.................,.................
2,Ha.H.H.H.H.H,SE.................,Ha.................
3,CO.H.H.H.H.H,SE.................,CO.................
4,F.H.H.H.H.H,SE.RE.SA...............,NH2.NO2.F...............
5,NO2.H.H.H.H.H,SE.................,NO2.................
6,OH.H.H.H.H.H,SE.RE.SA...............,NO2.NH2.OH...............
7,NH2.H.H.H.H.H,SE.RE................,NO2.NH2................
8,C.H.H.H.H.H,SE.RE................,CO.C................
9,OH.Ha.H.H.H.H,SE.SE.RE.SA..............,Ha.NO2.NH2.OH..............
10,C.Ha.H.H.H.H,SE.SE.RE...............,Ha.CO.C...............
11,Ha.H.H.NO2.H.H,SE.SE................,Ha.NO2................
12,OH.H.C.H.H.H,SE.SE.RE.SA..............,NO2.CO.B.OH..............
13,Ha.CO.H.H.H.H,SE.SE................,Ha.CO................
14,CO.NO2.H.H.H.H,SE.RE.SE.OX..............,NO2.NH2.CO.NO2..............
15,NH2.F.H.H.H.H,SE.RE.SA.SE.RE.............,NO2.NH2.F.NO2.NH2.............
16,C.CO.H.H.F.H,SE.SE.RE.SA.SE.............,NO2.CO.B.F.CO.............
17,OH.F.H.NH2.H.H,SE.RE.SA.SE.RE.SA.SE.RE..........,NO2.NH2.OH.NO2.NH2.F.NO2.NH2..........
18,OH.H.F.NH2.H.H,SE.RE.SE.SA.RE.SA.SE.RE..........,NO2.NH2.NO2.OH.NH2.F.NO2.NH2..........
19,NH2.CO.F.H.H.H,SE.RE.SE.SA.RE.SE............,NO2.NH2.NO2.F.NH2.CO............
20,NH2.Ha.H.H.H.H,SE.SE.RE...............,Ha.NO2.NH2...............
21,C.Ha.H.NO2.H.H,SE.RE.SE.SE..............,CO.C.NO2.Ha..............
22,NH2.H.C.H.NO2.H,SE.SE.RE.SE..............,NO2.CO.B.NO2..............
23,OH.F.H.H.H.NO2,SE.RE.SA.SE.RE.SA.SE...........,NO2.NH2.OH.NO2.NH2.F.NO2...........
24,NH2.H.NO2.Ha.H.H,SE.SE.RE.SE..............,Ha.NO2.NH2.NO2..............
25,OH.Ha.H.H.H.NO2,SE.RE.SA.SE.SE.............,NO2.NH2.OH.NO2.Ha.............
26,OH.H.Ha.NH2.H.H,SE.SE.RE.SA.SE.RE............,NO2.Ha.NH2.OH.NO2.NH2............
27,NH2.NO2.CO.H.H.H,SE.SE.RE.SE..............,NO2.CO.NH2.NO2..............
28,NH2.F.C.H.H.H,SE.RE.SA.SE.SE.RE............,NO2.NH2.F.NO2.CO.B............
29,NH2.H.F.CO.H.H,SE.RE.SE.PO.RE.SA.UP.SE..........,NO2.NH2.NO2..NH2.F..CO..........
